date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:08	121/121	---M--	200	added ('OK')	text/plain	date:Wed,%2012%20Oct%202022%2015:41:02%20GMT	https://alsayegh.com/robots.txt		(from )
13:36:09	34473/34473	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:09%20GMT	https://alsayegh.com/	D:/Repositories/career/career/alsayegh.com/index.html	(from )
13:36:10	123280/123280	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2011:07:46%20GMT	https://alsayegh.com/assets/img/seo-image.jpg	D:/Repositories/career/career/alsayegh.com/assets/img/seo-image.jpg	(from https://alsayegh.com/)
13:36:10	2556/2556	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Dec%202024%2011:01:59%20GMT	https://alsayegh.com/assets/fav/favicon-96x96.png	D:/Repositories/career/career/alsayegh.com/assets/fav/favicon-96x96.png	(from https://alsayegh.com/)
13:36:10	3719/3719	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2020%20Dec%202024%2011:01:59%20GMT	https://alsayegh.com/assets/fav/favicon.svg	D:/Repositories/career/career/alsayegh.com/assets/fav/favicon.svg	(from https://alsayegh.com/)
13:36:11	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Fri,%2020%20Dec%202024%2011:01:59%20GMT	https://alsayegh.com/assets/fav/favicon.ico	D:/Repositories/career/career/alsayegh.com/assets/fav/favicon.ico	(from https://alsayegh.com/)
13:36:11	4536/4536	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Dec%202024%2011:01:59%20GMT	https://alsayegh.com/assets/fav/apple-touch-icon.png	D:/Repositories/career/career/alsayegh.com/assets/fav/apple-touch-icon.png	(from https://alsayegh.com/)
13:36:11	444/444	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Dec%202024%2011:01:59%20GMT	https://alsayegh.com/assets/fav/site.webmanifest	D:/Repositories/career/career/alsayegh.com/assets/fav/site.html	(from https://alsayegh.com/)
13:36:11	232948/232948	---MCZ	200	added ('OK')	text/css	etag:W/%2238df4-HxOZgbm0enZu+gphu3ito1HxbEs%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	D:/Repositories/career/career/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css	(from https://alsayegh.com/)
13:36:12	18453/18453	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Mar%202025%2010:54:55%20GMT	https://alsayegh.com/css/swiper-bundle.min.css	D:/Repositories/career/career/alsayegh.com/css/swiper-bundle.min.css	(from https://alsayegh.com/)
13:36:12	15325/15325	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202025%2012:34:47%20GMT	https://alsayegh.com/assets/css/style.css?17	D:/Repositories/career/career/alsayegh.com/assets/css/style70ef.css	(from https://alsayegh.com/)
13:36:12	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Sun,%2021%20Sep%202025%2006:36:13%20GMT	https://www.google.com/recaptcha/api.js	D:/Repositories/career/career/www.google.com/recaptcha/api.js	(from https://alsayegh.com/)
13:36:13	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	D:/Repositories/career/career/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://alsayegh.com/)
13:36:13	153610/153610	---M--	200	added ('OK')	application/javascript	date:Sat,%2015%20Mar%202025%2010:54:51%20GMT	https://alsayegh.com/js/swiper-bundle.min.js	D:/Repositories/career/career/alsayegh.com/js/swiper-bundle.min.js	(from https://alsayegh.com/)
13:36:13	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2021%20Sep%202025%2006:36:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Repositories/career/career/www.googletagmanager.com/gtm.c5445.delayed	(from https://alsayegh.com/)
13:36:16	75/75	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%224b-gjMOKi5CYCRhUAhaMTIJbS36Rm4%22	https://cdn.jsdelivr.net/npm/jquery.marquee/jquery.marquee.min.css	D:/Repositories/career/career/cdn.jsdelivr.net/npm/jquery.marquee/jquery.marquee.min.css	(from https://alsayegh.com/)
13:36:16	8530/8530	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2009:12:43%20GMT	https://alsayegh.com/assets/img/logo.png	D:/Repositories/career/career/alsayegh.com/assets/img/logo.png	(from https://alsayegh.com/)
13:36:17	3252/3252	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2017:49:47%20GMT	https://alsayegh.com/assets/img/unmute.png	D:/Repositories/career/career/alsayegh.com/assets/img/unmute.png	(from https://alsayegh.com/)
13:36:17	323/323	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2019%20Dec%202024%2010:05:25%20GMT	https://alsayegh.com/assets/img/arrow-down.svg	D:/Repositories/career/career/alsayegh.com/assets/img/arrow-down.svg	(from https://alsayegh.com/)
13:36:18	22161/22161	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:18%20GMT	https://alsayegh.com/services/events	D:/Repositories/career/career/alsayegh.com/services/events.html	(from https://alsayegh.com/)
13:36:20	15574/15574	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:20%20GMT	https://alsayegh.com/services/conferences	D:/Repositories/career/career/alsayegh.com/services/conferences.html	(from https://alsayegh.com/)
13:36:20	149561/149561	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:04%20GMT	https://alsayegh.com/storage/services/Asset_1.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_1.jpg	(from https://alsayegh.com/)
13:36:21	19528/19528	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:22%20GMT	https://alsayegh.com/services/branding	D:/Repositories/career/career/alsayegh.com/services/branding.html	(from https://alsayegh.com/)
13:36:22	216539/216539	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_6.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_6.jpg	(from https://alsayegh.com/)
13:36:22	18092/18092	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:23%20GMT	https://alsayegh.com/services/video	D:/Repositories/career/career/alsayegh.com/services/video.html	(from https://alsayegh.com/)
13:36:23	267377/267377	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_5.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_5.jpg	(from https://alsayegh.com/)
13:36:23	218160/218160	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_3.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_3.jpg	(from https://alsayegh.com/)
13:36:23	15990/15990	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:24%20GMT	https://alsayegh.com/services/socialmedia	D:/Repositories/career/career/alsayegh.com/services/socialmedia.html	(from https://alsayegh.com/)
13:36:24	167209/167209	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:04%20GMT	https://alsayegh.com/storage/services/Asset_2.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_2.jpg	(from https://alsayegh.com/)
13:36:24	13739/13739	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:25%20GMT	https://alsayegh.com/services/influencer_marketing	D:/Repositories/career/career/alsayegh.com/services/influencer_marketing.html	(from https://alsayegh.com/)
13:36:25	13474/13474	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:25%20GMT	https://alsayegh.com/services/media_planning	D:/Repositories/career/career/alsayegh.com/services/media_planning.html	(from https://alsayegh.com/)
13:36:25	216400/216400	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_8.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_8.jpg	(from https://alsayegh.com/)
13:36:26	13438/13438	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Sep%202025%2006:36:26%20GMT	https://alsayegh.com/services/digital	D:/Repositories/career/career/alsayegh.com/services/digital.html	(from https://alsayegh.com/)
13:36:26	223840/223840	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_7.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_7.jpg	(from https://alsayegh.com/)
13:36:26	1920/1920	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:43%20GMT	https://alsayegh.com/storage/clients/Artboard_62.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_62.png	(from https://alsayegh.com/)
13:36:27	3523/3523	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:41%20GMT	https://alsayegh.com/storage/clients/Artboard_49.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_49.png	(from https://alsayegh.com/)
13:36:27	214401/214401	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Dec%202024%2006:12:05%20GMT	https://alsayegh.com/storage/services/Asset_4.jpg	D:/Repositories/career/career/alsayegh.com/storage/services/Asset_4.jpg	(from https://alsayegh.com/)
13:36:27	1630/1630	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:41%20GMT	https://alsayegh.com/storage/clients/Artboard_50.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_50.png	(from https://alsayegh.com/)
13:36:27	3521/3521	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_51.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_51.png	(from https://alsayegh.com/)
13:36:28	2093/2093	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_52.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_52.png	(from https://alsayegh.com/)
13:36:28	1298/1298	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_53.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_53.png	(from https://alsayegh.com/)
13:36:28	3301/3301	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_54.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_54.png	(from https://alsayegh.com/)
13:36:29	2492/2492	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_55.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_55.png	(from https://alsayegh.com/)
13:36:29	2007/2007	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_56.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_56.png	(from https://alsayegh.com/)
13:36:30	1361/1361	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:42%20GMT	https://alsayegh.com/storage/clients/Artboard_57.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_57.png	(from https://alsayegh.com/)
13:36:30	2758/2758	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:43%20GMT	https://alsayegh.com/storage/clients/Artboard_58.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_58.png	(from https://alsayegh.com/)
13:36:30	1312/1312	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:43%20GMT	https://alsayegh.com/storage/clients/Artboard_59.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_59.png	(from https://alsayegh.com/)
13:36:31	2027/2027	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Dec%202024%2011:27:43%20GMT	https://alsayegh.com/storage/clients/Artboard_60.png	D:/Repositories/career/career/alsayegh.com/storage/clients/Artboard_60.png	(from https://alsayegh.com/)
